id,name,description,dict_field_sets_first,dict_field_sets_second,alias
1,Submission Date,,Latest_SubmissionDate__c,Submission Date,forms-eloqua-tasking-dictionaries/submission-date
2,Rev Calc Question 2,,Latest_RevCalc_Q2__c,Rev Calc Question 2,forms-eloqua-tasking-dictionaries/rev-calc-question-2
3,Organization Name,,Company,Organization Name,forms-eloqua-tasking-dictionaries/organization-name
4,URL,,Latest_URL__c,URL,forms-eloqua-tasking-dictionaries/url
5,Are you succeeding with PQRSNO,,areyousucceedingwithpqrsyes,Are you succeeding with PQRS? NO,forms-eloqua-tasking-dictionaries/are-you-succeeding-pqrsno
6,SalesForce Google Analytics code,,sfga,SalesForce Google Analytics code,forms-eloqua-tasking-dictionaries/salesforce-google-analytics-code
7,Do you manage paper documentationNO,,doyoumanagepaperdocumentationno,Do you manage paper documentation? NO,forms-eloqua-tasking-dictionaries/do-you-manage-paper-documentationno
8,SalesForce Campaign ID,,Latest_SFDC_CampaignID__c,SalesForce Campaign ID,forms-eloqua-tasking-dictionaries/salesforce-campaign-id
9,Do you bill for CCMYES,,doyoubillforccmno,Do you bill for CCM? YES,forms-eloqua-tasking-dictionaries/do-you-bill-ccmyes
10,Latest PPC Keyword,,Latest_PPCKeyword__c,PPC Keyword,forms-eloqua-tasking-dictionaries/latest-ppc-keyword
11,Epocrates Member ID,,Epoc_Member_ID,Epocrates Member ID,forms-eloqua-tasking-dictionaries/epocrates-member-id
12,Do you manage paper documentationYES,,doyoumanagepaperdocumentationyes,Do you manage paper documentation? YES,forms-eloqua-tasking-dictionaries/do-you-manage-paper-documentationyes
13,Title,,Title,Title,forms-eloqua-tasking-dictionaries/title
14,Web Form,,Web_Form__c,Web Form,forms-eloqua-tasking-dictionaries/web-form
15,Website,,Website,Website,forms-eloqua-tasking-dictionaries/website
16,Latest Comments,,Latest_Comments__c,Comments,forms-eloqua-tasking-dictionaries/latest-comments
17,Latest Address,,Latest_Address,Address,forms-eloqua-tasking-dictionaries/latest-address
18,Initial annual revenue increase result,,initialannualrevenueincreaseresult,Initial annual revenue increase result,forms-eloqua-tasking-dictionaries/initial-annual-revenue-increase-result
19,SalesForce Campaign ID 2,,Latest_SFDC_CampaignID2__c,SalesForce Campaign ID 2,forms-eloqua-tasking-dictionaries/salesforce-campaign-id-2
20,Specialty,,Latest_Specialty,Specialty,forms-eloqua-tasking-dictionaries/specialty
21,Page Title,,Page_Display_Name,Page Title,forms-eloqua-tasking-dictionaries/page-title
22,Role,,Role,Role,forms-eloqua-tasking-dictionaries/role
23,How did you hear about athenahealth,,Latest_Source__c,How did you head about athenahealth?,forms-eloqua-tasking-dictionaries/how-did-you-hear-about-athenahealth
