id,name,description,alias
1,"* All fields required","* All fields required",forms-subheader-text/all-fields-required
2,"And see how athenahealth can benefit your practice. Complete this form to learn more.",,forms-subheader-text/and-see-how-athenahealth-can-benefit-your-practice-complete-form-learn-more
3,"Begin by signing up now for athenaCoordinator Core","Begin by signing up now for athenaCoordinator Core. Questions before you sign up?&nbsp;Reference the <a href='https://www.athenahealth.com/system/files/athenacoordinator_core_faq_10_2017.pdf'><strong>FAQ</strong></a> or <a href='mailto:CoordinatorInfo@athenahealth.com'><strong>Email us</strong></a>.<br>
<br>
Please do not complete this form if any of the following apply: <br>
• You are already an athenahealth Client contracted for services other than athenaCoordinator Core – please contact your Account Manager.<br>
• You receive less than 200 Orders per month from athenaClinicals clients but want to build an Orders interface with Athena – please <a href='mailto:CoordinatorInfo@athenahealth.com'><strong>Email us</strong></a>.",forms-subheader-text/begin-signing-now-athenacoordinator-core
4,"Contact one of our experts to learn how athenahealth can help you navigate upcoming quality programs","<p class='master-form__desc'>Contact one of our experts to learn how athenahealth can help you navigate upcoming quality programs</p>",forms-subheader-text/contact-one-our-experts-learn-how-athenahealth-can-help-you-navigate-upcoming
5,"Contact one of our experts to learn how athenahealth is uniquely positioned to drive results for health plans.","<p>Contact one of our experts to learn how athenahealth is uniquely positioned to drive results for health plans.</p>

<p><br />
* All fields required</p>
",forms-subheader-text/contact-one-our-experts-learn-how-athenahealth-uniquely-positioned-drive
6,"Please take a minute to tell us about yourself","<p class='master-form__desc'>Please take a minute to tell us about yourself</p>

<p class='master-form__desc'>* All fields required</p>
",forms-subheader-text/please-take-minute-tell-us-about-yourself
7,"Submit below or call 800.981.5084","<p class='master-form__desc'>Submit below or call 800.981.5084</p>

<p class='master-form__desc'>* All fields required</p>
",forms-subheader-text/submit-below-or-call-8009815084
8,"Thanks for your interest in athenahealth. We're excited to learn more about your practice.","<p class='master-form__desc'>Thanks for your interest in athenahealth. We're excited to learn more about your practice.</p>",forms-subheader-text/thanks-your-interest-athenahealth-were-excited-learn-more-about-your-practice
9,"Thanks for your interest in athenahealth. We're excited to learn more about your practice.","<p>Thanks for your interest in athenahealth. We're excited to learn more about your practice.</p>
",forms-subheader-text/thanks-your-interest-athenahealth-were-excited-learn-more-about-your-practice-0
10,"Thank you for your interest in athenahealth. We're excited to learn more about your practice! Please propose a date and time most convenient for you, and someone will reach out and confirm this time shortly","<p>Thank you for your interest in athenahealth. We're excited to learn more about your practice! Please propose a date and time most convenient for you, and someone will reach out and confirm this time shortly.</p>
",forms-subheader-text/thank-you-your-interest-athenahealth-were-excited-learn-more-about-your
